country,pathogen,pathogen_label,pathogen_column,month_start,count,spec_processed_nb
Dominican Republic,RSV,RSV,RSV,2004-07-01,0.0,7.0
Dominican Republic,RSV,RSV,RSV,2004-08-01,0.0,2.0
Dominican Republic,RSV,RSV,RSV,2004-09-01,0.0,0.0
Dominican Republic,RSV,RSV,RSV,2004-10-01,0.0,6.0
Dominican Republic,RSV,RSV,RSV,2004-11-01,0.0,4.0
Dominican Republic,RSV,RSV,RSV,2004-12-01,0.0,0.0
Dominican Republic,RSV,RSV,RSV,2005-01-01,0.0,4.0
Dominican Republic,RSV,RSV,RSV,2005-02-01,0.0,14.0
Dominican Republic,RSV,RSV,RSV,2005-03-01,0.0,2.0
Dominican Republic,RSV,RSV,RSV,2005-04-01,0.0,24.0
Dominican Republic,RSV,RSV,RSV,2005-05-01,0.0,16.0
Dominican Republic,RSV,RSV,RSV,2005-06-01,0.0,12.0
Dominican Republic,RSV,RSV,RSV,2005-07-01,0.0,4.0
Dominican Republic,RSV,RSV,RSV,2005-08-01,0.0,0.0
Dominican Republic,RSV,RSV,RSV,2005-09-01,0.0,3.0
Dominican Republic,RSV,RSV,RSV,2005-10-01,0.0,3.0
Dominican Republic,RSV,RSV,RSV,2005-11-01,0.0,8.0
Dominican Republic,RSV,RSV,RSV,2005-12-01,0.0,3.0
Dominican Republic,RSV,RSV,RSV,2006-01-01,0.0,1.0
Dominican Republic,RSV,RSV,RSV,2006-02-01,0.0,0.0
Dominican Republic,RSV,RSV,RSV,2006-03-01,0.0,10.0
Dominican Republic,RSV,RSV,RSV,2006-04-01,0.0,8.0
Dominican Republic,RSV,RSV,RSV,2006-05-01,0.0,9.0
Dominican Republic,RSV,RSV,RSV,2006-06-01,0.0,24.0
Dominican Republic,RSV,RSV,RSV,2006-07-01,0.0,25.0
Dominican Republic,RSV,RSV,RSV,2006-08-01,0.0,14.0
Dominican Republic,RSV,RSV,RSV,2006-09-01,0.0,45.0
Dominican Republic,RSV,RSV,RSV,2006-10-01,0.0,32.0
Dominican Republic,RSV,RSV,RSV,2006-11-01,0.0,28.0
Dominican Republic,RSV,RSV,RSV,2006-12-01,0.0,14.0
Dominican Republic,RSV,RSV,RSV,2007-01-01,0.0,37.0
Dominican Republic,RSV,RSV,RSV,2007-02-01,0.0,36.0
Dominican Republic,RSV,RSV,RSV,2007-03-01,0.0,6.0
Dominican Republic,RSV,RSV,RSV,2007-04-01,0.0,20.0
Dominican Republic,RSV,RSV,RSV,2007-05-01,0.0,5.0
Dominican Republic,RSV,RSV,RSV,2007-06-01,0.0,4.0
Dominican Republic,RSV,RSV,RSV,2007-07-01,0.0,9.0
Dominican Republic,RSV,RSV,RSV,2007-08-01,0.0,4.0
Dominican Republic,RSV,RSV,RSV,2007-09-01,0.0,11.0
Dominican Republic,RSV,RSV,RSV,2007-10-01,0.0,0.0
Dominican Republic,RSV,RSV,RSV,2007-11-01,0.0,0.0
Dominican Republic,RSV,RSV,RSV,2007-12-01,0.0,6.0
Dominican Republic,RSV,RSV,RSV,2008-01-01,0.0,8.0
Dominican Republic,RSV,RSV,RSV,2008-02-01,0.0,5.0
